xsim_p16_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
74     sigma_nipymc_fixstim_subject_0    0.46      1.56  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.48      1.52  posterior_mean
76           nipymc_fixstim_cond_diff    0.13      0.07  posterior_mean
77                        sigma_y_obs    0.02      1.00  posterior_mean
78          b_nipymc_fixstim_stimulus    0.04      0.72    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.10      0.38    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.10      0.37    posterior_SD
83           nipymc_fixstim_cond_diff    0.02      0.34    posterior_SD
84                        sigma_y_obs    0.00      0.02    posterior_SD
85          b_nipymc_nostim_condition    0.18      1.37  posterior_mean
86                              AR(1)    0.02      0.45  posterior_mean
87                              AR(2)    0.02      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.21      1.00  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.23      1.00  posterior_mean
90            nipymc_nostim_cond_diff    0.38      0.92  posterior_mean
91                        sigma_y_obs    0.02      1.00  posterior_mean
92          b_nipymc_nostim_condition    0.15      0.55    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.03      0.24    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.04      0.24    posterior_SD
97            nipymc_nostim_cond_diff    0.05      0.38    posterior_SD
98                        sigma_y_obs    0.00      0.02    posterior_SD
99        b_nipymc_randstim_condition    0.18      1.37  posterior_mean
100                             AR(1)    0.02      0.45  posterior_mean
101                             AR(2)    0.02      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.09      0.31  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.10      0.31  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.21      1.02  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.23      1.01  posterior_mean
106         nipymc_randstim_cond_diff    0.38      0.92  posterior_mean
107                       sigma_y_obs    0.02      1.00  posterior_mean
108       b_nipymc_randstim_condition    0.15      0.56    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.03      0.18    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.04      0.18    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.03      0.24    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.04      0.24    posterior_SD
115         nipymc_randstim_cond_diff    0.05      0.41    posterior_SD
116                       sigma_y_obs    0.00      0.02    posterior_SD

